cajas,dask_avg,dask_std,speedup
4,0.2513464291890462,0.3101095537108818,0.27240875589296387
8,0.19568800926208496,0.2263251000977452,0.349888418466287
12,0.19930601119995117,0.22582747589480542,0.3435368941523616
